GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-governance,com.cosmic.governance.api.service,InfrastructureTelemetryService.MetricValue,6,15,0,0,1,2,1,2,1,2
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry.RuntimeProfile,0,12,0,0,0,1,0,1,0,1
java-governance,com.cosmic.governance.api.service,TopologyMetricsService,11,6,0,0,3,3,2,1,2,1
java-governance,com.cosmic.governance.api.service,JobService,874,1855,197,234,198,394,160,120,16,48
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry.JobCounts,0,18,0,0,0,1,0,1,0,1
java-governance,com.cosmic.governance.api.service,InfrastructureTelemetryService.ServiceSnapshot,0,6,0,0,0,1,0,1,0,1
java-governance,com.cosmic.governance.api.service,SchemaService.ValidationResult,0,33,0,0,0,4,0,4,0,4
java-governance,com.cosmic.governance.api.service,GovernanceIngestProcessingService,120,234,40,16,21,52,28,7,1,6
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry.InfrastructureMetrics,36,99,0,0,1,1,1,1,1,1
java-governance,com.cosmic.governance.api.service,DatasetService,181,228,23,13,36,50,21,6,3,6
java-governance,com.cosmic.governance.api.service,GovernanceObjectStoreService,106,129,6,4,26,30,6,7,1,7
java-governance,com.cosmic.governance.api.service,ArchiveDrService,106,295,18,22,20,76,17,14,1,10
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry.LinkTelemetry,27,24,2,0,5,8,6,2,5,2
java-governance,com.cosmic.governance.api.service,VisualizationMetricsService,1075,16,86,0,181,5,47,1,4,1
java-governance,com.cosmic.governance.api.service,JobScenarioService,307,14,6,0,53,4,6,2,3,2
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry,275,3515,76,189,53,597,73,119,2,37
java-governance,com.cosmic.governance.api.service,InfrastructureTelemetryService,400,4647,50,40,70,591,33,43,0,31
java-governance,com.cosmic.governance.api.service,JobService.SchedulerSnapshot,0,24,0,0,0,1,0,1,0,1
java-governance,com.cosmic.governance.api.service,AuditService,49,154,8,4,12,42,6,5,0,5
java-governance,com.cosmic.governance.api.service,CommissioningScenarioService,1,128,2,8,0,25,2,9,0,6
java-governance,com.cosmic.governance.api.service,GovernanceIngestProcessingService.ProcessingResult,0,31,0,0,0,3,0,3,0,3
java-governance,com.cosmic.governance.api.service,GovernanceIngestMetricsService,66,302,5,5,13,59,8,11,3,11
java-governance,com.cosmic.governance.api.service,GovernanceRuntimeMetricsService,224,1202,48,68,61,264,47,43,7,25
java-governance,com.cosmic.governance.api.service,TopologyMetricsRegistry.MetricValue,0,21,0,0,0,3,0,3,0,3
